gcf_id	group	subgroup	genus	species_strain
GCF_000005825.2_ASM582v2	Terrabacteria group	Firmicutes	Bacillus	pseudofirmus_OF4
GCF_000005845.2_ASM584v2	Proteobacteria	Gammaproteobacteria	Escherichia	coli_str._K-12_substr._MG1655
GCF_000006605.1_ASM660v1	Terrabacteria group	Actinobacteria	Corynebacterium	jeikeium_K411
GCF_000006625.1_ASM662v1	Terrabacteria group	Tenericutes	Ureaplasma	parvum_serovar_3_str._ATCC_700970
GCF_000006645.1_ASM664v1	Proteobacteria	Gammaproteobacteria	Yersinia	pestis_KIM10+
GCF_000006685.1_ASM668v1	PVC group	Chlamydiae	Chlamydia	muridarum_str._Nigg
GCF_000006725.1_ASM672v1	Proteobacteria	Gammaproteobacteria	Xylella	fastidiosa_9a5c
GCF_000006745.1_ASM674v1	Proteobacteria	Gammaproteobacteria	Vibrio	cholerae_O1_biovar_El_Tor_str._N16961
GCF_000006765.1_ASM676v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	aeruginosa_PAO1
GCF_000006785.2_ASM678v2	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_M1_GAS
GCF_000006825.1_ASM682v1	Proteobacteria	Gammaproteobacteria	Pasteurella	multocida_subsp._multocida_str._Pm70
GCF_000006845.1_ASM684v1	Proteobacteria	Betaproteobacteria	Neisseria	gonorrhoeae_FA_1090
GCF_000006865.1_ASM686v1	Terrabacteria group	Firmicutes	Lactococcus	lactis_subsp._lactis_Il1403
GCF_000006885.1_ASM688v1	Terrabacteria group	Firmicutes	Streptococcus	pneumoniae_TIGR4
GCF_000006905.1_ASM690v1	Proteobacteria	Alphaproteobacteria	Caulobacter	vibrioides_CB15
GCF_000006925.2_ASM692v2	Proteobacteria	Gammaproteobacteria	Shigella	flexneri_2a_str._301
GCF_000006945.2_ASM694v2	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Typhimurium_str._LT2
GCF_000006965.1_ASM696v1	Proteobacteria	Alphaproteobacteria	Sinorhizobium	meliloti_1021
GCF_000006985.1_ASM698v1	FCB group	Bacteroidetes/Chlorobi group	Chlorobaculum	tepidum_TLS
GCF_000007025.1_ASM702v1	Proteobacteria	Alphaproteobacteria	Rickettsia	conorii_str._Malish_7
GCF_000007045.1_ASM704v1	Terrabacteria group	Firmicutes	Streptococcus	pneumoniae_R6
GCF_000007085.1_ASM708v1	Terrabacteria group	Firmicutes	Caldanaerobacter	subterraneus_subsp._tengcongensis_MB4
GCF_000007105.1_ASM710v1	Proteobacteria	Alphaproteobacteria	Zymomonas	mobilis_subsp._mobilis_ZM4_=_ATCC_31821
GCF_000007125.1_ASM712v1	Proteobacteria	Alphaproteobacteria	Brucella	melitensis_bv._1_str._16M
GCF_000007145.1_ASM714v1	Proteobacteria	Gammaproteobacteria	Xanthomonas	campestris_pv._campestris_str._ATCC_33913
GCF_000007165.1_ASM716v1	Proteobacteria	Gammaproteobacteria	Xanthomonas	citri_pv._citri_str._306
GCF_000007205.1_ASM720v1	PVC group	Chlamydiae	Chlamydia	pneumoniae_TW-183
GCF_000007245.1_ASM724v1	Proteobacteria	Gammaproteobacteria	Xylella	fastidiosa_Temecula1
GCF_000007265.1_ASM726v1	Terrabacteria group	Firmicutes	Streptococcus	agalactiae_2603V/R
GCF_000007285.1_ASM728v1	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_MGAS8232
GCF_000007365.1_ASM736v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._Sg_(Schizaphis_graminum)
GCF_000007425.1_ASM742v1	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_MGAS315
GCF_000007445.1_ASM744v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_CFT073
GCF_000007465.2_ASM746v2	Terrabacteria group	Firmicutes	Streptococcus	mutans_UA159
GCF_000007485.1_ASM748v1	Terrabacteria group	Actinobacteria	Tropheryma	whipplei_str._Twist
GCF_000007505.1_ASM750v1	Proteobacteria	Alphaproteobacteria	Brucella	suis_1330
GCF_000007525.1_ASM752v1	Terrabacteria group	Actinobacteria	Bifidobacterium	longum_NCC2705
GCF_000007545.1_ASM754v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Typhi_str._Ty2
GCF_000007565.2_ASM756v2	Proteobacteria	Gammaproteobacteria	Pseudomonas	putida_KT2440
GCF_000007585.1_ASM758v1	FCB group	Bacteroidetes/Chlorobi group	Porphyromonas	gingivalis_W83
GCF_000007605.1_ASM760v1	PVC group	Chlamydiae	Chlamydia	caviae_GPIC
GCF_000007625.1_ASM762v1	Terrabacteria group	Firmicutes	Clostridium	tetani_E88
GCF_000007645.1_ASM764v1	Terrabacteria group	Firmicutes	Staphylococcus	epidermidis_ATCC_12228
GCF_000007665.1_ASM766v1	Terrabacteria group	Actinobacteria	Leifsonia	xyli_subsp._xyli_str._CTCB07
GCF_000007685.1_ASM768v1	Spirochaetes	Spirochaetia	Leptospira	interrogans_serovar_Copenhageni_str._Fiocruz_L1-130
GCF_000007705.1_ASM770v1	Proteobacteria	Betaproteobacteria	Chromobacterium	violaceum_ATCC_12472
GCF_000007725.1_ASM772v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._Bp_(Baizongia_pistaciae)
GCF_000007745.1_ASM774v1	Proteobacteria	Gammaproteobacteria	[Mannheimia]	succiniciproducens_MBEL55E
GCF_000007765.2_ASM776v2	Proteobacteria	Gammaproteobacteria	Coxiella	burnetii_RSA_493
GCF_000007785.1_ASM778v1	Terrabacteria group	Firmicutes	Enterococcus	faecalis_V583
GCF_000007805.1_ASM780v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	syringae_pv._tomato_str._DC3000
GCF_000007825.1_ASM782v1	Terrabacteria group	Firmicutes	Bacillus	cereus_ATCC_14579
GCF_000007845.1_ASM784v1	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._Ames
GCF_000007865.1_ASM786v1	Terrabacteria group	Actinobacteria	Mycobacterium	avium_subsp._paratuberculosis_K-10
GCF_000007885.1_ASM788v1	Proteobacteria	Gammaproteobacteria	Yersinia	pestis_biovar_Microtus_str._91001
GCF_000007905.1_ASM790v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	hepaticus_ATCC_51449
GCF_000007925.1_ASM792v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Prochlorococcus	marinus_subsp._marinus_str._CCMP1375
GCF_000007945.1_ASM794v1	Proteobacteria	Gammaproteobacteria	[Haemophilus]	ducreyi_35000HP
GCF_000007985.2_ASM798v2	Proteobacteria	delta/epsilon subdivisions	Geobacter	sulfurreducens_PCA
GCF_000008005.1_ASM800v1	Terrabacteria group	Firmicutes	Bacillus	cereus_ATCC_10987
GCF_000008025.1_ASM802v1	Proteobacteria	Alphaproteobacteria	Wolbachia	endosymbiont_of_Drosophila_melanogaster
GCF_000008045.1_ASM804v1	Proteobacteria	Alphaproteobacteria	Rickettsia	typhi_str._Wilmington
GCF_000008065.1_ASM806v1	Terrabacteria group	Firmicutes	Lactobacillus	johnsonii_NCC_533
GCF_000008105.1_ASM810v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Choleraesuis_str._SC-B67
GCF_000008125.1_ASM812v1	Terrabacteria group	Deinococcus-Thermus	Thermus	thermophilus_HB27
GCF_000008145.1_ASM814v1	Proteobacteria	Alphaproteobacteria	Brucella	abortus_bv._1_str._9-941
GCF_000008165.1_ASM816v1	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._Sterne
GCF_000008185.1_ASM818v1	Spirochaetes	Spirochaetia	Treponema	denticola_ATCC_35405
GCF_000008205.1_ASM820v1	Terrabacteria group	Tenericutes	Mycoplasma	hyopneumoniae_J
GCF_000008225.1_ASM822v1	Terrabacteria group	Tenericutes	Mycoplasma	hyopneumoniae_7448
GCF_000008245.1_ASM824v1	Terrabacteria group	Tenericutes	Mycoplasma	synoviae_53
GCF_000008285.1_ASM828v1	Terrabacteria group	Firmicutes	Listeria	monocytogenes_serotype_4b_str._F2365
GCF_000008305.1_ASM830v1	Terrabacteria group	Tenericutes	Mesoplasma	florum_L1
GCF_000008325.1_ASM832v1	Proteobacteria	Gammaproteobacteria	Methylococcus	capsulatus_str._Bath
GCF_000008345.1_ASM834v1	Terrabacteria group	Actinobacteria	Cutibacterium	acnes_KPA171202
GCF_000008365.1_ASM836v1	Terrabacteria group	Tenericutes	Mycoplasma	mobile_163K
GCF_000008385.1_ASM838v1	Proteobacteria	Alphaproteobacteria	Wolbachia	endosymbiont_strain_TRS_of_Brugia_malayi
GCF_000008405.1_ASM840v1	Terrabacteria group	Tenericutes	Mycoplasma	hyopneumoniae_232
GCF_000008425.1_ASM842v1	Terrabacteria group	Firmicutes	Bacillus	licheniformis_DSM_13_=_ATCC_14580
GCF_000008445.1_ASM844v1	Terrabacteria group	Firmicutes	Bacillus	anthracis_str._'Ames_Ancestor'
GCF_000008465.1_ASM846v1	Proteobacteria	Gammaproteobacteria	Idiomarina	loihiensis_L2TR
