,group,subgroup,genus,species_strain,group_id,subgroup_id,genus_id,species_strain_id
GCF_000005825.2,Terrabacteria group,Firmicutes,Bacillus,pseudofirmus_OF4,20,23,113,3623
GCF_000005845.2,Proteobacteria,Gammaproteobacteria,Escherichia,coli_str._K-12_substr._MG1655,16,25,316,1139
GCF_000006605.1,Terrabacteria group,Actinobacteria,Corynebacterium,jeikeium_K411,20,2,222,2367
GCF_000006625.1,Terrabacteria group,Tenericutes,Ureaplasma,parvum_serovar_3_str._ATCC_700970,20,36,1021,3262
GCF_000006645.1,Proteobacteria,Gammaproteobacteria,Yersinia,pestis_KIM10+,16,25,1052,3339
GCF_000006685.1,PVC group,Chlamydiae,Chlamydia,muridarum_str._Nigg,15,11,187,2985
GCF_000006725.1,Proteobacteria,Gammaproteobacteria,Xylella,fastidiosa_9a5c,16,25,1050,1766
GCF_000006745.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae_O1_biovar_El_Tor_str._N16961,16,25,1031,953
GCF_000006765.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa_PAO1,16,25,776,116
GCF_000006785.2,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_M1_GAS,20,23,921,3825
GCF_000006825.1,Proteobacteria,Gammaproteobacteria,Pasteurella,multocida_subsp._multocida_str._Pm70,16,25,709,2978
GCF_000006845.1,Proteobacteria,Betaproteobacteria,Neisseria,gonorrhoeae_FA_1090,16,7,624,2043
GCF_000006865.1,Terrabacteria group,Firmicutes,Lactococcus,lactis_subsp._lactis_Il1403,20,23,488,2474
GCF_000006885.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae_TIGR4,20,23,921,3506
GCF_000006905.1,Proteobacteria,Alphaproteobacteria,Caulobacter,vibrioides_CB15,16,3,175,5722
GCF_000006925.2,Proteobacteria,Gammaproteobacteria,Shigella,flexneri_2a_str._301,16,25,874,1834
GCF_000006945.2,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Typhimurium_str._LT2,16,25,856,1641
GCF_000006965.1,Proteobacteria,Alphaproteobacteria,Sinorhizobium,meliloti_1021,16,3,886,2748
GCF_000006985.1,FCB group,Bacteroidetes/Chlorobi group,Chlorobaculum,tepidum_TLS,11,6,189,5338
GCF_000007025.1,Proteobacteria,Alphaproteobacteria,Rickettsia,conorii_str._Malish_7,16,3,813,1161
GCF_000007045.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae_R6,20,23,921,3497
GCF_000007085.1,Terrabacteria group,Firmicutes,Caldanaerobacter,subterraneus_subsp._tengcongensis_MB4,20,23,157,5206
GCF_000007105.1,Proteobacteria,Alphaproteobacteria,Zymomonas,mobilis_subsp._mobilis_ZM4_=_ATCC_31821,16,3,1060,2857
GCF_000007125.1,Proteobacteria,Alphaproteobacteria,Brucella,melitensis_bv._1_str._16M,16,3,151,2761
GCF_000007145.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,campestris_pv._campestris_str._ATCC_33913,16,25,1046,781
GCF_000007165.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,citri_pv._citri_str._306,16,25,1046,984
GCF_000007205.1,PVC group,Chlamydiae,Chlamydia,pneumoniae_TW-183,15,11,187,3507
GCF_000007245.1,Proteobacteria,Gammaproteobacteria,Xylella,fastidiosa_Temecula1,16,25,1050,1770
GCF_000007265.1,Terrabacteria group,Firmicutes,Streptococcus,agalactiae_2603V/R,20,23,921,142
GCF_000007285.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_MGAS8232,20,23,921,3833
GCF_000007325.1,Fusobacteria,Fusobacteriia,Fusobacterium,nucleatum_subsp._nucleatum_ATCC_25586,12,24,354,3086
